Latitude (decimal degrees):	42.469
Longitude (decimal degrees):	12.739
Elevation (m):	943
Radiation database:	PVGIS-SARAH3


Slope: 36 deg. (optimum)
Azimuth: -15 deg. (optimum)
Nominal power of the PV system (c-Si) (kWp):	1.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20230102:0410,0.0,0.0,0.0,4.12,1.31,0.0
20230102:0510,0.0,0.0,0.0,3.53,1.31,0.0
20230102:0610,0.0,0.0,0.0,2.95,1.31,0.0
20230102:0710,71.41,97.3,4.03,4.71,1.1,0.0
20230102:0810,429.35,506.07,12.25,6.13,0.9,0.0
20230102:0910,326.0,391.41,18.76,9.31,0.48,0.0
20230102:1010,474.01,578.26,23.03,11.14,0.55,0.0
20230102:1110,300.59,365.76,24.61,12.2,1.1,0.0
20230102:1210,280.45,341.97,23.28,12.75,1.52,0.0
20230102:1310,221.54,273.62,19.21,12.81,1.52,0.0
20230102:1410,56.48,83.12,12.87,12.53,1.31,0.0
20230102:1510,11.15,25.11,4.77,11.65,1.03,0.0
20230102:1610,0.0,0.0,0.0,10.7,0.83,0.0
20230102:1710,0.0,0.0,0.0,9.75,0.62,0.0
20230102:1810,0.0,0.0,0.0,9.09,0.76,0.0
20230102:1910,0.0,0.0,0.0,8.42,0.83,0.0
20230102:2010,0.0,0.0,0.0,7.62,0.97,0.0
20230102:2110,0.0,0.0,0.0,7.24,0.97,0.0
20230102:2210,0.0,0.0,0.0,7.13,0.97,0.0
20230102:2310,0.0,0.0,0.0,6.54,1.03,0.0
20230103:0010,0.0,0.0,0.0,5.13,1.24,0.0
20230103:0110,0.0,0.0,0.0,3.63,1.38,0.0
20230103:0210,0.0,0.0,0.0,3.17,1.31,0.0
20230103:0310,0.0,0.0,0.0,3.38,1.24,0.0
20230103:0410,0.0,0.0,0.0,3.51,1.24,0.0
20230103:0510,0.0,0.0,0.0,4.46,1.1,0.0
20230103:0610,0.0,0.0,0.0,5.11,1.17,0.0
20230103:0710,0.0,4.61,4.03,5.06,0.97,0.0
20230103:0810,41.0,62.76,12.27,6.68,0.69,0.0
20230103:0910,116.64,150.68,18.81,8.34,0.62,0.0
20230103:1010,130.41,168.52,23.1,10.59,0.21,0.0
20230103:1110,352.62,428.65,24.7,11.56,0.55,0.0
20230103:1210,229.21,282.7,23.39,11.86,0.69,0.0
20230103:1310,432.34,526.84,19.34,12.0,0.83,0.0
20230103:1410,55.93,82.25,13.0,11.76,0.83,0.0
20230103:1510,8.27,20.78,4.91,11.14,0.69,0.0
20230103:1610,0.0,0.0,0.0,10.4,0.48,0.0
20230103:1710,0.0,0.0,0.0,10.03,0.07,0.0
20230103:1810,0.0,0.0,0.0,9.63,0.21,0.0
20230103:1910,0.0,0.0,0.0,9.0,0.62,0.0
20230103:2010,0.0,0.0,0.0,8.32,0.76,0.0
20230103:2110,0.0,0.0,0.0,7.74,0.9,0.0
20230103:2210,0.0,0.0,0.0,7.23,0.97,0.0
20230103:2310,0.0,0.0,0.0,6.61,1.03,0.0
20230104:0010,0.0,0.0,0.0,6.04,1.1,0.0
20230104:0110,0.0,0.0,0.0,5.31,1.24,0.0
20230104:0210,0.0,0.0,0.0,4.98,1.17,0.0
20230104:0310,0.0,0.0,0.0,4.43,1.31,0.0
20230104:0410,0.0,0.0,0.0,4.43,1.17,0.0
20230104:0510,0.0,0.0,0.0,4.02,1.24,0.0
20230104:0610,0.0,0.0,0.0,3.83,1.17,0.0
20230104:0710,49.32,71.86,4.04,4.58,1.03,0.0
20230104:0810,61.34,86.42,12.3,6.41,0.76,0.0
20230104:0910,123.98,159.51,18.86,9.21,0.62,0.0
20230104:1010,642.98,800.74,23.18,10.66,0.62,0.0
20230104:1110,674.78,851.74,24.8,11.62,0.55,0.0
20230104:1210,612.73,766.8,23.51,12.28,0.55,0.0
20230104:1310,221.51,274.4,19.47,12.67,0.83,0.0
20230104:1410,35.26,57.14,13.14,12.42,1.03,0.0
20230104:1510,8.25,20.78,5.05,11.48,0.97,0.0
20230104:1610,0.0,0.0,0.0,10.17,0.62,0.0
20230104:1710,0.0,0.0,0.0,9.67,0.21,0.0
20230104:1810,0.0,0.0,0.0,8.93,0.34,0.0
20230104:1910,0.0,0.0,0.0,8.16,0.83,0.0
20230104:2010,0.0,0.0,0.0,7.23,0.97,0.0
20230104:2110,0.0,0.0,0.0,6.46,1.03,0.0
20230104:2210,0.0,0.0,0.0,4.97,1.17,0.0
20230104:2310,0.0,0.0,0.0,3.48,1.24,0.0
20230105:0010,0.0,0.0,0.0,2.83,1.31,0.0
20230105:0110,0.0,0.0,0.0,2.41,1.31,0.0
20230105:0210,0.0,0.0,0.0,2.08,1.24,0.0
20230105:0310,0.0,0.0,0.0,1.38,1.24,0.0
20230105:0410,0.0,0.0,0.0,1.31,1.24,0.0
20230105:0510,0.0,0.0,0.0,1.21,1.24,0.0
20230105:0610,0.0,0.0,0.0,1.37,1.24,0.0
20230105:0710,72.58,97.55,4.06,1.85,1.1,0.0
20230105:0810,450.75,526.74,12.34,3.72,0.76,0.0
20230105:0910,467.14,559.25,18.92,7.41,0.41,0.0
20230105:1010,581.3,718.01,23.26,9.12,0.14,0.0
20230105:1110,581.2,717.3,24.9,10.22,0.48,0.0
20230105:1210,515.99,629.2,23.63,10.63,0.76,0.0
20230105:1310,326.1,393.72,19.61,10.53,0.9,0.0
20230105:1410,54.16,79.65,13.28,10.29,0.83,0.0
20230105:1510,12.48,26.84,5.2,9.73,0.69,0.0
20230105:1610,0.0,0.0,0.0,9.04,0.69,0.0
20230105:1710,0.0,0.0,0.0,8.26,0.76,0.0
20230105:1810,0.0,0.0,0.0,7.57,0.76,0.0
20230105:1910,0.0,0.0,0.0,7.67,0.48,0.0
20230105:2010,0.0,0.0,0.0,7.44,0.55,0.0
20230105:2110,0.0,0.0,0.0,6.5,0.76,0.0
20230105:2210,0.0,0.0,0.0,5.48,0.9,0.0
20230105:2310,0.0,0.0,0.0,4.38,1.1,0.0
20230106:0010,0.0,0.0,0.0,4.05,1.03,0.0
20230106:0110,0.0,0.0,0.0,3.82,1.1,0.0
20230106:0210,0.0,0.0,0.0,3.67,1.03,0.0
20230106:0310,0.0,0.0,0.0,3.69,1.1,0.0
20230106:0410,0.0,0.0,0.0,3.4,1.17,0.0
20230106:0510,0.0,0.0,0.0,3.22,1.24,0.0
20230106:0610,0.0,0.0,0.0,3.16,1.17,0.0
20230106:0710,71.23,96.99,4.09,4.35,1.17,0.0
20230106:0810,326.46,381.96,12.38,4.97,1.03,0.0
20230106:0910,336.72,400.13,18.98,7.46,0.62,0.0
20230106:1010,395.08,478.01,23.36,9.73,0.21,0.0
20230106:1110,395.49,480.79,25.02,10.88,0.34,0.0
20230106:1210,512.53,628.5,23.77,11.6,0.69,0.0
20230106:1310,267.41,326.46,19.75,11.88,1.03,0.0
20230106:1410,46.67,70.99,13.43,11.58,0.97,0.0
20230106:1510,8.28,20.78,5.35,10.86,0.83,0.0
20230106:1610,0.0,0.0,0.0,9.68,0.62,0.0
20230106:1710,0.0,0.0,0.0,9.43,0.28,0.0
20230106:1810,0.0,0.0,0.0,9.04,0.28,0.0
20230106:1910,0.0,0.0,0.0,8.2,0.69,0.0
20230106:2010,0.0,0.0,0.0,7.3,0.83,0.0
20230106:2110,0.0,0.0,0.0,6.52,0.97,0.0
20230106:2210,0.0,0.0,0.0,5.8,1.03,0.0
20230106:2310,0.0,0.0,0.0,5.14,1.1,0.0
20230107:0010,0.0,0.0,0.0,4.58,1.17,0.0
20230107:0110,0.0,0.0,0.0,4.49,1.17,0.0
20230107:0210,0.0,0.0,0.0,4.27,1.17,0.0
20230107:0310,0.0,0.0,0.0,4.25,1.17,0.0
20230107:0410,0.0,0.0,0.0,4.23,1.17,0.0
20230107:0510,0.0,0.0,0.0,4.07,1.1,0.0
20230107:0610,0.0,0.0,0.0,3.27,1.17,0.0
20230107:0710,12.57,26.39,4.12,4.32,1.03,0.0
20230107:0810,99.6,128.93,12.43,5.03,0.69,0.0
20230107:0910,73.18,101.49,19.06,8.62,0.21,0.0
20230107:1010,83.86,114.28,23.45,9.45,0.69,0.0
20230107:1110,97.64,130.46,25.14,10.15,1.03,0.0
20230107:1210,68.53,96.77,23.9,10.68,1.24,0.0
20230107:1310,52.3,77.42,19.9,10.43,1.24,0.0
20230107:1410,39.9,62.34,13.59,10.11,1.1,0.0
20230107:1510,10.68,24.24,5.51,9.55,0.69,0.0
20230107:1610,0.0,0.0,0.0,8.92,0.48,0.0
20230107:1710,0.0,0.0,0.0,8.14,0.48,0.0
20230107:1810,0.0,0.0,0.0,7.66,0.62,0.0
20230107:1910,0.0,0.0,0.0,7.6,0.62,0.0
20230107:2010,0.0,0.0,0.0,7.05,0.76,0.0
20230107:2110,0.0,0.0,0.0,6.73,0.76,0.0
20230107:2210,0.0,0.0,0.0,6.38,0.83,0.0
20230107:2310,0.0,0.0,0.0,6.22,0.83,0.0
20230108:0010,0.0,0.0,0.0,5.66,0.9,0.0
20230108:0110,0.0,0.0,0.0,5.23,1.03,0.0
20230108:0210,0.0,0.0,0.0,4.69,1.1,0.0
20230108:0310,0.0,0.0,0.0,4.29,1.17,0.0
20230108:0410,0.0,0.0,0.0,4.4,1.1,0.0
20230108:0510,0.0,0.0,0.0,4.57,1.1,0.0
20230108:0610,0.0,0.0,0.0,4.55,1.17,0.0
20230108:0710,77.4,103.64,4.16,3.46,1.17,0.0
20230108:0810,491.64,578.32,12.49,4.84,0.97,0.0
20230108:0910,321.05,379.91,19.14,7.32,1.17,0.0
20230108:1010,242.72,292.63,23.56,8.66,1.52,0.0
20230108:1110,104.75,137.84,25.27,9.26,2.14,0.0
20230108:1210,84.93,115.21,24.05,9.52,2.41,0.0
20230108:1310,27.02,46.08,20.06,9.34,2.62,0.0
20230108:1410,18.89,35.5,13.75,8.97,2.41,0.0
20230108:1510,8.38,20.78,5.67,8.96,2.48,0.0
20230108:1610,0.0,0.0,0.0,8.36,2.21,0.0
20230108:1710,0.0,0.0,0.0,7.99,2.14,0.0
20230108:1810,0.0,0.0,0.0,7.94,2.34,0.0
20230108:1910,0.0,0.0,0.0,7.83,2.62,0.0
20230108:2010,0.0,0.0,0.0,7.81,2.69,0.0
20230108:2110,0.0,0.0,0.0,7.7,2.83,0.0
20230108:2210,0.0,0.0,0.0,7.63,2.97,0.0
20230108:2310,0.0,0.0,0.0,7.62,3.1,0.0
20230109:0010,0.0,0.0,0.0,7.73,3.1,0.0
20230109:0110,0.0,0.0,0.0,8.15,3.03,0.0
20230109:0210,0.0,0.0,0.0,8.26,3.31,0.0
20230109:0310,0.0,0.0,0.0,8.16,3.03,0.0
20230109:0410,0.0,0.0,0.0,8.18,2.69,0.0
20230109:0510,0.0,0.0,0.0,8.22,2.21,0.0
20230109:0610,0.0,0.0,0.0,8.2,1.66,0.0
20230109:0710,2.01,10.14,4.2,8.68,1.79,0.0
20230109:0810,26.3,45.16,12.55,9.28,2.07,0.0
20230109:0910,75.45,104.24,19.23,9.94,2.97,0.0
20230109:1010,56.48,82.03,23.67,9.65,2.62,0.0
20230109:1110,18.41,35.02,25.41,10.19,1.31,0.0
20230109:1210,17.08,33.18,24.21,9.75,1.24,0.0
20230109:1310,27.66,47.0,20.22,9.69,0.9,0.0
20230109:1410,5.58,16.45,13.92,9.36,1.03,0.0
20230109:1510,10.14,23.38,5.83,8.63,1.24,0.0
20230109:1610,0.0,0.0,0.0,7.15,1.45,0.0
20230109:1710,0.0,0.0,0.0,6.11,0.55,0.0
20230109:1810,0.0,0.0,0.0,5.11,0.76,0.0
20230109:1910,0.0,0.0,0.0,3.75,1.03,0.0
20230109:2010,0.0,0.0,0.0,3.52,0.97,0.0
20230109:2110,0.0,0.0,0.0,3.3,1.03,0.0
20230109:2210,0.0,0.0,0.0,3.06,0.9,0.0
20230109:2310,0.0,0.0,0.0,3.56,0.48,0.0
20230110:0010,0.0,0.0,0.0,3.53,0.69,0.0
20230110:0110,0.0,0.0,0.0,3.61,1.24,0.0
20230110:0210,0.0,0.0,0.0,2.95,1.66,0.0
20230110:0310,0.0,0.0,0.0,2.53,1.79,0.0
20230110:0410,0.0,0.0,0.0,2.16,1.93,0.0
20230110:0510,0.0,0.0,0.0,1.82,1.86,0.0
20230110:0610,0.0,0.0,0.0,1.7,1.86,0.0
20230110:0710,119.2,148.87,4.25,1.45,2.0,0.0
20230110:0810,94.98,122.39,12.62,2.57,1.66,0.0
20230110:0910,262.92,308.71,19.32,4.46,1.66,0.0
20230110:1010,600.04,711.12,23.79,6.33,1.93,0.0
20230110:1110,740.59,892.66,25.55,7.63,2.48,0.0
20230110:1210,694.11,833.01,24.37,8.59,2.69,0.0
20230110:1310,552.83,656.89,20.39,8.92,2.55,0.0
20230110:1410,26.25,45.02,14.09,8.81,2.28,0.0
20230110:1510,9.59,22.51,6.0,7.99,1.66,0.0
20230110:1610,0.0,0.0,0.0,6.49,1.45,0.0
20230110:1710,0.0,0.0,0.0,4.76,1.31,0.0
20230110:1810,0.0,0.0,0.0,3.67,1.38,0.0
20230110:1910,0.0,0.0,0.0,3.11,1.24,0.0
20230110:2010,0.0,0.0,0.0,2.12,1.24,0.0
20230110:2110,0.0,0.0,0.0,1.2,1.31,0.0
20230110:2210,0.0,0.0,0.0,0.56,1.38,0.0
20230110:2310,0.0,0.0,0.0,0.19,1.45,0.0
20230111:0010,0.0,0.0,0.0,-0.26,1.45,0.0
20230111:0110,0.0,0.0,0.0,-0.72,1.45,0.0
20230111:0210,0.0,0.0,0.0,-1.11,1.45,0.0
20230111:0310,0.0,0.0,0.0,-1.44,1.52,0.0
20230111:0410,0.0,0.0,0.0,-1.76,1.52,0.0
20230111:0510,0.0,0.0,0.0,-2.05,1.45,0.0
20230111:0610,0.0,0.0,0.0,-2.24,1.45,0.0
20230111:0710,190.94,224.77,4.31,-1.98,1.38,0.0
20230111:0810,524.71,605.7,12.7,0.29,0.97,0.0
20230111:0910,627.26,752.97,19.42,4.63,0.69,0.0
20230111:1010,734.97,911.28,23.92,7.05,0.76,0.0
20230111:1110,669.67,824.66,25.7,8.48,0.9,0.0
20230111:1210,626.68,766.54,24.53,9.37,1.1,0.0
20230111:1310,518.41,627.04,20.57,9.7,1.1,0.0
20230111:1410,59.5,85.71,14.27,9.5,1.03,0.0
20230111:1510,18.91,35.5,6.18,8.55,0.83,0.0
20230111:1610,0.0,0.0,0.0,7.65,0.55,0.0
20230111:1710,0.0,0.0,0.0,6.95,0.48,0.0
20230111:1810,0.0,0.0,0.0,6.19,0.69,0.0
20230111:1910,0.0,0.0,0.0,4.28,1.03,0.0
20230111:2010,0.0,0.0,0.0,2.94,1.17,0.0
20230111:2110,0.0,0.0,0.0,2.36,1.24,0.0
20230111:2210,0.0,0.0,0.0,1.85,1.38,0.0
20230111:2310,0.0,0.0,0.0,1.79,1.38,0.0
20230112:0010,0.0,0.0,0.0,1.93,1.38,0.0
20230112:0110,0.0,0.0,0.0,1.89,1.38,0.0
20230112:0210,0.0,0.0,0.0,1.92,1.38,0.0
20230112:0310,0.0,0.0,0.0,2.15,1.31,0.0
20230112:0410,0.0,0.0,0.0,2.13,1.52,0.0
20230112:0510,0.0,0.0,0.0,2.14,1.52,0.0
20230112:0610,0.0,0.0,0.0,1.98,1.59,0.0
20230112:0710,102.78,131.36,4.37,2.2,1.52,0.0
20230112:0810,504.03,585.44,12.79,3.05,1.38,0.0
20230112:0910,622.07,741.48,19.53,5.36,1.24,0.0
20230112:1010,699.33,857.42,24.06,7.17,0.97,0.0
20230112:1110,658.04,808.08,25.86,8.42,0.9,0.0
20230112:1210,669.53,829.03,24.71,9.16,0.76,0.0
20230112:1310,532.1,644.24,20.75,9.51,1.03,0.0
20230112:1410,24.8,43.29,14.45,9.31,1.1,0.0
20230112:1510,10.74,24.24,6.36,8.56,0.69,0.0
20230112:1610,0.0,0.0,0.0,6.94,0.9,0.0
20230112:1710,0.0,0.0,0.0,5.72,0.9,0.0
20230112:1810,0.0,0.0,0.0,4.4,1.03,0.0
20230112:1910,0.0,0.0,0.0,2.92,1.24,0.0
20230112:2010,0.0,0.0,0.0,1.77,1.38,0.0
20230112:2110,0.0,0.0,0.0,0.91,1.38,0.0
20230112:2210,0.0,0.0,0.0,0.34,1.38,0.0
20230112:2310,0.0,0.0,0.0,0.0,1.38,0.0
20230113:0010,0.0,0.0,0.0,-0.01,1.38,0.0
20230113:0110,0.0,0.0,0.0,0.04,1.38,0.0
20230113:0210,0.0,0.0,0.0,0.04,1.38,0.0
20230113:0310,0.0,0.0,0.0,0.11,1.38,0.0
20230113:0410,0.0,0.0,0.0,0.32,1.38,0.0
20230113:0510,0.0,0.0,0.0,0.7,1.38,0.0
20230113:0610,0.0,0.0,0.0,0.99,1.38,0.0
20230113:0710,82.76,108.27,4.44,0.22,1.31,0.0
20230113:0810,99.07,127.27,12.88,2.88,0.83,0.0
20230113:0910,364.09,430.74,19.65,6.06,0.41,0.0
20230113:1010,715.66,890.41,24.2,8.13,0.69,0.0
20230113:1110,375.06,448.35,26.02,9.03,1.1,0.0
20230113:1210,527.58,635.83,24.89,9.37,1.24,0.0
20230113:1310,114.26,148.79,20.94,9.41,1.24,0.0
20230113:1410,61.83,88.31,14.64,9.09,1.17,0.0
20230113:1510,18.29,34.63,6.54,8.3,0.97,0.0
20230113:1610,0.0,0.0,0.0,7.62,1.03,0.0
20230113:1710,0.0,0.0,0.0,7.07,1.24,0.0
20230113:1810,0.0,0.0,0.0,6.72,1.24,0.0
20230113:1910,0.0,0.0,0.0,6.1,1.03,0.0
20230113:2010,0.0,0.0,0.0,5.81,0.9,0.0
20230113:2110,0.0,0.0,0.0,5.84,0.83,0.0
20230113:2210,0.0,0.0,0.0,5.63,0.97,0.0
20230113:2310,0.0,0.0,0.0,5.29,1.03,0.0
20230114:0010,0.0,0.0,0.0,4.64,1.1,0.0
20230114:0110,0.0,0.0,0.0,4.12,1.1,0.0
20230114:0210,0.0,0.0,0.0,3.37,1.24,0.0
20230114:0310,0.0,0.0,0.0,3.15,1.24,0.0
20230114:0410,0.0,0.0,0.0,2.71,1.24,0.0
20230114:0510,0.0,0.0,0.0,2.09,1.31,0.0
20230114:0610,0.0,0.0,0.0,1.85,1.38,0.0
20230114:0710,101.65,130.56,4.52,2.94,1.38,0.0
20230114:0810,337.19,393.02,12.98,4.14,1.03,0.0
20230114:0910,463.67,548.44,19.77,7.37,1.38,0.0
20230114:1010,544.52,651.42,24.35,8.81,1.72,0.0
20230114:1110,643.97,783.75,26.19,9.97,1.79,0.0
20230114:1210,651.76,800.69,25.07,10.67,1.45,0.0
20230114:1310,543.38,662.96,21.13,11.13,1.17,0.0
20230114:1410,25.26,44.16,14.83,10.98,1.03,0.0
20230114:1510,12.46,26.84,6.73,10.09,0.76,0.0
20230114:1610,0.0,0.0,0.0,8.76,0.62,0.0
20230114:1710,0.0,0.0,0.0,7.9,0.69,0.0
20230114:1810,0.0,0.0,0.0,6.77,0.69,0.0
20230114:1910,0.0,0.0,0.0,5.02,0.83,0.0
20230114:2010,0.0,0.0,0.0,3.55,1.03,0.0
20230114:2110,0.0,0.0,0.0,2.48,1.38,0.0
20230114:2210,0.0,0.0,0.0,1.87,1.45,0.0
20230114:2310,0.0,0.0,0.0,1.47,1.45,0.0
20230115:0010,0.0,0.0,0.0,1.45,1.45,0.0
20230115:0110,0.0,0.0,0.0,2.02,1.38,0.0
20230115:0210,0.0,0.0,0.0,2.51,1.38,0.0
20230115:0310,0.0,0.0,0.0,2.72,1.38,0.0
20230115:0410,0.0,0.0,0.0,2.8,1.38,0.0
20230115:0510,0.0,0.0,0.0,2.68,1.45,0.0
20230115:0610,0.0,0.0,0.0,2.54,1.59,0.0
20230115:0710,67.26,91.91,4.6,2.78,1.52,0.0
20230115:0810,141.08,173.83,13.08,4.1,1.38,0.0
20230115:0910,70.85,97.69,19.9,6.2,1.31,0.0
20230115:1010,73.74,101.38,24.5,7.15,1.52,0.0
20230115:1110,56.13,81.1,26.37,7.91,1.93,0.0
20230115:1210,45.25,68.2,25.26,7.96,2.0,0.0
20230115:1310,22.15,39.63,21.33,8.0,2.14,0.0
20230115:1410,15.13,30.3,15.03,7.84,2.34,0.0
20230115:1510,0.51,6.93,6.92,7.83,2.0,0.0
20230115:1610,0.0,0.0,0.0,7.38,1.86,0.0
20230115:1710,0.0,0.0,0.0,7.05,1.66,0.0
20230115:1810,0.0,0.0,0.0,6.8,1.66,0.0
20230115:1910,0.0,0.0,0.0,7.18,2.0,0.0
20230115:2010,0.0,0.0,0.0,7.09,2.0,0.0
20230115:2110,0.0,0.0,0.0,6.97,2.0,0.0
20230115:2210,0.0,0.0,0.0,6.94,2.07,0.0
20230115:2310,0.0,0.0,0.0,6.93,2.0,0.0
20230116:0010,0.0,0.0,0.0,6.97,2.21,0.0
20230116:0110,0.0,0.0,0.0,6.82,2.34,0.0
20230116:0210,0.0,0.0,0.0,6.56,2.28,0.0
20230116:0310,0.0,0.0,0.0,6.42,2.28,0.0
20230116:0410,0.0,0.0,0.0,6.25,2.14,0.0
20230116:0510,0.0,0.0,0.0,6.49,2.0,0.0
20230116:0610,0.0,0.0,0.0,6.77,2.34,0.0
20230116:0710,0.0,4.61,4.69,6.17,1.79,0.0
20230116:0810,25.95,44.24,13.19,6.35,1.31,0.0
20230116:0910,27.31,46.08,20.04,7.12,1.38,0.0
20230116:1010,135.2,171.39,24.67,7.9,1.59,0.0
20230116:1110,44.41,67.28,26.56,8.19,1.52,0.0
20230116:1210,50.59,74.65,25.46,8.29,2.07,0.0
20230116:1310,170.48,209.97,21.53,7.86,2.69,0.0
20230116:1410,64.13,90.04,15.23,7.02,3.24,0.0
20230116:1510,12.76,26.84,7.12,6.01,3.03,0.0
20230116:1610,0.0,0.0,0.0,5.14,2.41,0.0
20230116:1710,0.0,0.0,0.0,5.04,2.28,0.0
20230116:1810,0.0,0.0,0.0,5.29,2.69,0.0
20230116:1910,0.0,0.0,0.0,5.71,2.97,0.0
20230116:2010,0.0,0.0,0.0,6.11,3.45,0.0
20230116:2110,0.0,0.0,0.0,5.94,2.9,0.0
20230116:2210,0.0,0.0,0.0,5.8,2.62,0.0
20230116:2310,0.0,0.0,0.0,5.57,2.76,0.0
20230117:0010,0.0,0.0,0.0,5.42,2.69,0.0
20230117:0110,0.0,0.0,0.0,5.45,2.48,0.0
20230117:0210,0.0,0.0,0.0,5.21,2.21,0.0
20230117:0310,0.0,0.0,0.0,4.94,2.0,0.0
20230117:0410,0.0,0.0,0.0,5.2,1.86,0.0
20230117:0510,0.0,0.0,0.0,5.47,2.34,0.0
20230117:0610,0.0,0.0,0.0,6.16,2.62,0.0
20230117:0710,1.57,9.22,4.78,6.76,3.03,0.0
20230117:0810,32.52,52.53,13.31,7.2,2.97,0.0
20230117:0910,93.48,123.54,20.18,7.12,2.48,0.0
20230117:1010,48.56,71.89,24.83,7.21,2.76,0.0
20230117:1110,44.52,67.28,26.75,8.0,3.03,0.0
20230117:1210,18.59,35.02,25.67,8.59,4.21,0.0
20230117:1310,14.5,29.49,21.74,8.48,4.14,0.0
20230117:1410,33.26,53.68,15.43,8.46,4.55,0.0
20230117:1510,23.65,41.56,7.32,8.2,4.48,0.0
20230117:1610,0.0,0.0,0.0,7.9,3.86,0.0
20230117:1710,0.0,0.0,0.0,7.8,3.79,0.0
20230117:1810,0.0,0.0,0.0,7.63,3.66,0.0
20230117:1910,0.0,0.0,0.0,7.16,2.62,0.0
20230117:2010,0.0,0.0,0.0,7.28,2.83,0.0
20230117:2110,0.0,0.0,0.0,7.2,3.79,0.0
20230117:2210,0.0,0.0,0.0,7.16,4.0,0.0
20230117:2310,0.0,0.0,0.0,6.57,4.0,0.0
20230118:0010,0.0,0.0,0.0,5.82,4.41,0.0
20230118:0110,0.0,0.0,0.0,5.12,2.97,0.0
20230118:0210,0.0,0.0,0.0,4.67,2.62,0.0
20230118:0310,0.0,0.0,0.0,4.26,2.21,0.0
20230118:0410,0.0,0.0,0.0,4.02,2.21,0.0
20230118:0510,0.0,0.0,0.0,3.89,2.0,0.0
20230118:0610,0.0,0.0,0.0,3.91,2.48,0.0
20230118:0710,53.36,76.46,4.89,4.29,2.14,0.0
20230118:0810,82.79,109.96,13.43,4.92,2.55,0.0
20230118:0910,29.08,47.93,20.33,5.24,2.62,0.0
20230118:1010,306.74,358.31,25.01,5.44,2.76,0.0
20230118:1110,373.04,432.98,26.95,5.69,3.24,0.0
20230118:1210,196.65,237.49,25.88,5.96,2.69,0.0
20230118:1310,42.62,64.52,21.96,5.89,2.0,0.0
20230118:1410,46.65,69.26,15.65,5.66,1.93,0.0
20230118:1510,14.05,28.57,7.52,5.37,1.79,0.0
20230118:1610,0.0,0.0,0.0,4.38,1.59,0.0
20230118:1710,0.0,0.0,0.0,4.03,0.9,0.0
20230118:1810,0.0,0.0,0.0,3.83,1.17,0.0
20230118:1910,0.0,0.0,0.0,3.58,1.1,0.0
20230118:2010,0.0,0.0,0.0,3.38,1.24,0.0
20230118:2110,0.0,0.0,0.0,3.1,1.17,0.0
20230118:2210,0.0,0.0,0.0,3.2,1.24,0.0
20230118:2310,0.0,0.0,0.0,2.69,1.45,0.0
20230119:0010,0.0,0.0,0.0,2.2,1.17,0.0
20230119:0110,0.0,0.0,0.0,2.27,1.1,0.0
20230119:0210,0.0,0.0,0.0,2.49,1.03,0.0
20230119:0310,0.0,0.0,0.0,2.51,1.03,0.0
20230119:0410,0.0,0.0,0.0,2.18,1.24,0.0
20230119:0510,0.0,0.0,0.0,1.97,1.17,0.0
20230119:0610,0.0,0.0,0.0,1.73,1.24,0.0
20230119:0710,28.24,46.09,4.99,1.13,1.45,0.0
20230119:0810,471.82,544.82,13.56,2.28,1.38,0.0
